ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
,,,,P-P119,Oliveira de Azeméis,40.83930,-8.47737,206
P-P119,Oliveira de Azeméis,,,,,40.83930,-8.47737,206
,,,,P-P120,Santiago de Riba-Ul,40.84963,-8.48856,157
P-P120,Santiago de Riba-Ul,,,,,40.84963,-8.48856,157
,,,,P-P121,Cucujães,40.86643,-8.49400,132
P-P121,Cucujães,,,,,40.86643,-8.49400,132
,,,,P-P122,Faria,40.87930,-8.49511,151
P-P122,Faria,,,,,40.87930,-8.49511,151
,,,,P-P123,São João de Madeira,40.89930,-8.49252,224
P-P123,São João de Madeira,,,,,40.89930,-8.49252,224
,,P-P123-1,Museu da Chapelaria,,,40.90330,-8.49560,220
,,P-P123-2,Museu do Calçado,,,40.90403,-8.49579,219
,,,,P-P124,Arrifana,40.91383,-8.49690,268
P-P124,Arrifana,,,,,40.91383,-8.49690,268
,,,,P-P125,Infestas,40.92474,-8.51079,213
P-P125,Infestas,,,,,40.92474,-8.51079,213
,,,,P-P126,Malaposta,40.94832,-8.51214,302
P-P126,Malaposta,,,,,40.94832,-8.51214,302
,,,,P-P127,Airas,40.95678,-8.51768,299
P-P127,Airas,,,,,40.95678,-8.51768,299
,,,,P-P128,Souto Redondo,40.96300,-8.52218,268
P-P128,Souto Redondo,,,,,40.96300,-8.52218,268
,,,,P-P129,Ferradal,40.97519,-8.52659,211
P-P129,Ferradal,,,,,40.97519,-8.52659,211
,,,,P-P130,Lourosa,40.98862,-8.53635,221
P-P130,Lourosa,,,,,40.98862,-8.53635,221
,,,,P-P131,Vergada (Mozelos),41.00530,-8.54948,226
P-P131,Vergada (Mozelos),,,,,41.00530,-8.54948,226
,,,,P-P132,Goda,41.00669,-8.56318,208
P-P132,Goda,,,,,41.00669,-8.56318,208
,,,,P-P133,Grijó,41.02636,-8.58077,122
P-P133,Grijó,,,,,41.02636,-8.58077,122
,,P-P133-1,Mosteiro de San Salvador de Grijó,,,41.02877,-8.58005,126
,,,,P-P134,Sergueiros,41.05583,-8.58833,118
P-P134,Sergueiros,,,,,41.05583,-8.58833,118
,,,,P-P135,Perosinho,41.06243,-8.59778,127
P-P135,Perosinho,,,,,41.06243,-8.59778,127
,,,,P-P136,Rechousa,41.09537,-8.59869,150
P-P136,Rechousa,,,,,41.09537,-8.59869,150
,,,,P-P137,Vila Nova de Gaia,41.12256,-8.60603,118
P-P137,Vila Nova de Gaia,,,,,41.12256,-8.60603,118
,,P-P137-1,Ponte de Dom Luís I,,,41.14011,-8.60944,0
,,P-P137-2,Port Warehouses,,,41.13752,-8.61566,2
,,,,P-P138,Porto,41.14310,-8.61098,64
P-P138,Porto,,,,,41.14310,-8.61098,64
,,P-P138-1,Catedral do Porto,,,41.14287,-8.61111,62
,,P-P138-2,Livraria Lello,,,41.14698,-8.61483,86
,,P-P138-3,Littoral Route,,,41.14276,-8.61182,58
,,,,P-P139,Padrão da Légua,41.19297,-8.63375,106
,,,,L1,Porto (coast),41.14051,-8.61650,13
P-P139,Padrão da Légua,,,,,41.19297,-8.63375,106
,,P-P139-1,Coastal Route,,,41.19334,-8.63385,106
,,,,P-P140,Araújo,41.21976,-8.63747,75
,,,,P-C2,Custóias,41.20237,-8.64145,93
P-P140,Araújo,,,,,41.21976,-8.63747,75
,,,,P-P141,Ponte de Moreira,41.23600,-8.64681,32
P-P141,Ponte de Moreira,,,,,41.23600,-8.64681,32
,,,,P-P142,Moreira da Maia,41.24546,-8.64859,78
P-P142,Moreira da Maia,,,,,41.24546,-8.64859,78
,,,,P-P143,Vilar do Pinheiro,41.26964,-8.66434,70
P-P143,Vilar do Pinheiro,,,,,41.26964,-8.66434,70
,,,,P-P144,Mosteiró,41.27881,-8.67106,32
P-P144,Mosteiró,,,,,41.27881,-8.67106,32
,,,,P-P145,Vilar (Vila do Conde),41.28916,-8.67474,49
P-P145,Vilar (Vila do Conde),,,,,41.28916,-8.67474,49
,,,,P-P146,Gião,41.30797,-8.67913,58
P-P146,Gião,,,,,41.30797,-8.67913,58
,,P-P146-1,Detour,,,41.31097,-8.67911,60
,,,,P-P147,Vairão,41.32570,-8.67378,100
P-P147,Vairão,,,,,41.32570,-8.67378,100
,,,,P-P148,Monasterio de Vairão,41.33283,-8.66901,65
P-P148,Monasterio de Vairão,,,,,41.33283,-8.66901,65
,,,,P-P149,Vilarinho,41.33814,-8.68226,64
P-P149,Vilarinho,,,,,41.33814,-8.68226,64
,,P-P149-1,Alternative Route,,,41.34591,-8.67935,48
,,P-P149-2,Ponte de Dom Zameiro,,,41.35159,-8.68140,7
,,,,.,,41.35140,-8.68106,8
,,,,P-P150,Bagunte,41.35367,-8.67975,32
P-P150,Bagunte,,,,,41.35367,-8.67975,32
,,,,.,,41.35096,-8.68169,11
,,,,P-P151,Santagões,41.36350,-8.68208,61
P-P151,Santagões,,,,,41.36350,-8.68208,61
,,,,P-P152,Junqueira,41.37991,-8.67949,59
P-P152,Junqueira,,,,,41.37991,-8.67949,59
,,,,P-P153,São Miguel de Arcos,41.39548,-8.66710,44
P-P153,São Miguel de Arcos,,,,,41.39548,-8.66710,44
,,,,P-P154,São Pedro de Rates,41.42524,-8.66699,67
P-P154,São Pedro de Rates,,,,,41.42524,-8.66699,67
,,P-P154-1,Igreja de São Pedro de Rates,,,41.42339,-8.67237,54
,,,,P-P155,Courel,41.44763,-8.65190,93
,,,,P-T10,Aerodromo Povóa de Varzim,41.44825,-8.70577,67
P-P155,Courel,,,,,41.44763,-8.65190,93
,,,,P-P156,Pedra Furada,41.46789,-8.63657,116
P-P156,Pedra Furada,,,,,41.46789,-8.63657,116
,,,,P-P157,Silgueiros (Pereira),41.48497,-8.63133,116
P-P157,Silgueiros (Pereira),,,,,41.48497,-8.63133,116
,,,,P-P158,Carvalhal,41.50849,-8.63623,50
P-P158,Carvalhal,,,,,41.50849,-8.63623,50
,,,,P-P159,Barcelinhos,41.52796,-8.62219,15
P-P159,Barcelinhos,,,,,41.52796,-8.62219,15
,,P-P159-1,Ponte de Barcelos,,,41.52764,-8.62226,6
,,,,P-P160,Barcelos,41.53470,-8.62165,41
P-P160,Barcelos,,,,,41.53470,-8.62165,41
,,,,P-P161,Vila Boa,41.55543,-8.62018,66
P-P161,Vila Boa,,,,,41.55543,-8.62018,66
,,,,.,,41.55518,-8.62412,77
,,,,.,,41.56255,-8.61750,42
,,,,P-P162,Ribeira (Lijó),41.56544,-8.61775,55
P-P162,Ribeira (Lijó),,,,,41.56544,-8.61775,55
,,,,P-P163,Portela de Tamel,41.60194,-8.62883,182
P-P163,Portela de Tamel,,,,,41.60194,-8.62883,182
,,,,P-P164,Aborim,41.61139,-8.63605,127
P-P164,Aborim,,,,,41.61139,-8.63605,127
,,,,P-P165,Ponte das Tábuas,41.63223,-8.64242,59
P-P165,Ponte das Tábuas,,,,,41.63223,-8.64242,59
,,P-P165-1,Bathing area in the River Neiva,,,41.63212,-8.64268,57
,,,,P-P166,Balugães,41.64396,-8.63915,102
P-P166,Balugães,,,,,41.64396,-8.63915,102
,,,,P-P167,Poiares,41.65387,-8.63104,77
P-P167,Poiares,,,,,41.65387,-8.63104,77
,,,,P-P168,Corgo,41.66856,-8.62482,107
P-P168,Corgo,,,,,41.66856,-8.62482,107
,,,,P-P169,Valinhas,41.67380,-8.61822,103
P-P169,Valinhas,,,,,41.67380,-8.61822,103
,,,,P-P170,Igreja,41.68244,-8.61580,122
P-P170,Igreja,,,,,41.68244,-8.61580,122
,,P-P170-1,Alternative Ascent for Cyclists via Rúa de Reborido,,,41.68650,-8.62092,171
,,,,P-P171,Alto de Albergaria,41.69154,-8.62345,178
,,,,.,,41.68906,-8.62136,180
,,,,P-P171,Alto de Albergaria,41.69154,-8.62345,178
P-P171,Alto de Albergaria,,,,,41.69154,-8.62345,178
,,,,P-P172,Arribão,41.71461,-8.61978,70
P-P172,Arribão,,,,,41.71461,-8.61978,70
,,,,P-P173,Sobreiro,41.72775,-8.62401,49
P-P173,Sobreiro,,,,,41.72775,-8.62401,49
,,,,P-P174,Nabais,41.73277,-8.62341,31
P-P174,Nabais,,,,,41.73277,-8.62341,31
,,,,P-P175,Anta,41.74301,-8.61932,15
P-P175,Anta,,,,,41.74301,-8.61932,15
,,,,P-P176,Bouça,41.74717,-8.61450,20
P-P176,Bouça,,,,,41.74717,-8.61450,20
,,,,P-P177,Paço,41.75118,-8.61067,23
P-P177,Paço,,,,,41.75118,-8.61067,23
,,,,P-P178,Barros (Correlhã),41.75505,-8.60538,13
P-P178,Barros (Correlhã),,,,,41.75505,-8.60538,13
,,P-P178-1,Ponte Romano-Gótica de Ponte de Lima,,,41.76940,-8.58667,3
,,P-P178-2,Fonte Chafariz,,,41.76858,-8.58437,11
,,,,P-P179,Ponte de Lima,41.76877,-8.58437,11
P-P179,Ponte de Lima,,,,,41.76877,-8.58437,11
,,,,P-P180,Álém da Ponte,41.76976,-8.58917,11
P-P180,Álém da Ponte,,,,,41.76976,-8.58917,11
,,,,P-P181,Sabadão,41.77836,-8.59296,19
P-P181,Sabadão,,,,,41.77836,-8.59296,19
,,,,P-P182,Arcozelo,41.79280,-8.59266,30
P-P182,Arcozelo,,,,,41.79280,-8.59266,30
,,,,P-P183,Riba Rio,41.80758,-8.59750,36
P-P183,Riba Rio,,,,,41.80758,-8.59750,36
,,P-P183-1,Alternative Route for Cyclists,,,41.81061,-8.59872,43
,,,,P-P184,Arco,41.82364,-8.59647,69
P-P184,Arco,,,,,41.82364,-8.59647,69
,,,,P-P185,Codeçal,41.82920,-8.59586,80
P-P185,Codeçal,,,,,41.82920,-8.59586,80
,,,,P-P186,Labruja,41.84079,-8.60084,152
P-P186,Labruja,,,,,41.84079,-8.60084,152
,,,,P-P187,Bandeira,41.84482,-8.60075,167
P-P187,Bandeira,,,,,41.84482,-8.60075,167
,,P-P187-1,Alternative Route for Cyclists,,,41.84696,-8.60200,199
,,,,P-P188,Alto da Portela Grande,41.86235,-8.60816,398
P-P188,Alto da Portela Grande,,,,,41.86235,-8.60816,398
,,,,P-P189,Cabanas (Aqualonga),41.87322,-8.61618,296
P-P189,Cabanas (Aqualonga),,,,,41.87322,-8.61618,296
,,,,P-P190,Aqualonga,41.88401,-8.62016,236
P-P190,Aqualonga,,,,,41.88401,-8.62016,236
,,,,P-P191,São Roque,41.88919,-8.62620,248
P-P191,São Roque,,,,,41.88919,-8.62620,248
,,,,P-P192,Rubiães,41.89959,-8.62463,193
P-P192,Rubiães,,,,,41.89959,-8.62463,193
,,,,.,,41.90172,-8.62285,182
,,,,.,,41.90077,-8.62441,174
,,,,P-P193,Ponte Nova (Cossourado),41.90416,-8.62638,157
P-P193,Ponte Nova (Cossourado),,,,,41.90416,-8.62638,157
,,,,P-P194,Pecene,41.92715,-8.62681,255
P-P194,Pecene,,,,,41.92715,-8.62681,255
,,,,P-P195,São Bento da Porta Aberta,41.93158,-8.62834,274
P-P195,São Bento da Porta Aberta,,,,,41.93158,-8.62834,274
,,,,P-P196,Gontumil,41.94182,-8.63085,181
P-P196,Gontumil,,,,,41.94182,-8.63085,181
,,,,P-P197,Pereira (Fontoura),41.95131,-8.63379,86
P-P197,Pereira (Fontoura),,,,,41.95131,-8.63379,86
,,,,P-P198,Bárrio (Fontoura),41.95624,-8.63287,72
P-P198,Bárrio (Fontoura),,,,,41.95624,-8.63287,72
,,,,P-P199,Paços,41.97479,-8.63386,59
P-P199,Paços,,,,,41.97479,-8.63386,59
,,,,P-P200,Pedreira,41.98815,-8.63527,34
