ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
,,,,N-N101,La Acebosa,43.36641,-4.40945,51
N-N101,La Acebosa,,,,,43.36641,-4.40945,51
,,,,N-N102,Hortigal,43.35901,-4.42660,75
N-N102,Hortigal,,,,,43.35901,-4.42660,75
,,,,N-N103,Serdio,43.36265,-4.44973,116
N-N103,Serdio,,,,,43.36265,-4.44973,116
,,N-N103-1,Junction with the Lebaniego Way,,,43.36155,-4.46073,99
,,,,N-N104,Muñorrodero,43.36585,-4.48152,12
N-N104,Muñorrodero,,,,,43.36585,-4.48152,12
,,N-N104-1,Junction with the Lebaniego Way,,,43.36408,-4.48312,15
,,,,.,,43.37068,-4.47936,7
,,,,.,,43.37238,-4.47966,10
,,,,N-N105,Pesués,43.37379,-4.48741,49
N-N105,Pesués,,,,,43.37379,-4.48741,49
,,,,N-N106,Unquera y Bustio,43.37432,-4.51785,5
N-N106,Unquera y Bustio,,,,,43.37432,-4.51785,5
,,,,N-N107,Colombres,43.37489,-4.54057,119
N-N107,Colombres,,,,,43.37489,-4.54057,119
,,N-N107-1,Quinta Guadalupe,,,43.37387,-4.53890,113
,,N-N107-2,Indiano Houses,,,43.37502,-4.54200,120
,,,,N-N108,El Peral,43.38231,-4.55658,58
N-N108,El Peral,,,,,43.38231,-4.55658,58
,,,,N-N109,La Franca,43.38547,-4.57184,49
N-N109,La Franca,,,,,43.38547,-4.57184,49
,,N-N109-1,Cueva de El Pindal,,,43.39800,-4.53303,40
,,N-N109-2,Playa de la Franca,,,43.39467,-4.57479,0
,,,,.,,43.38898,-4.58656,15
,,,,.,,43.39497,-4.59008,52
,,,,N-N110,Buelna,43.39229,-4.61625,53
,,,,N-N110,Buelna,43.39229,-4.61625,53
N-N110,Buelna,,,,,43.39229,-4.61625,53
,,N-N110-1,Junction with the GR E9,,,43.39222,-4.61319,50
,,,,N-N111,Pendueles,43.39672,-4.63753,50
,,,,N-E91,E9 Detour,43.39513,-4.61945,11
N-N111,Pendueles,,,,,43.39672,-4.63753,50
,,N-N111-1,Junction with the GR E9,,,43.39672,-4.63755,50
,,,,.,,43.39781,-4.64573,52
,,,,.,,43.39962,-4.65349,22
,,,,.,,43.40105,-4.65861,34
,,,,N-N112,Vidiago,43.39548,-4.66486,62
,,,,N-E92,Andrín,43.40670,-4.71590,56
N-N112,Vidiago,,,,,43.39548,-4.66486,62
,,,,N-N113,Puertas de Vidiago,43.39660,-4.68606,46
N-N113,Puertas de Vidiago,,,,,43.39660,-4.68606,46
,,,,N-N114,San Roque del Acebal,43.39716,-4.73209,50
N-N114,San Roque del Acebal,,,,,43.39716,-4.73209,50
,,,,N-N115,Llanes,43.41956,-4.75430,8
N-N115,Llanes,,,,,43.41956,-4.75430,8
,,N-N115-1,Los Cubos de la Memoria,,,43.42172,-4.74753,0
,,,,N-N116,Póo,43.42423,-4.78365,21
N-N116,Póo,,,,,43.42423,-4.78365,21
,,N-N116-1,Junction with the GR E9,,,43.42495,-4.78618,13
,,,,N-N117,Celorio,43.43112,-4.80823,7
,,,,N-E94,Senda Costera,43.43062,-4.79201,23
N-N117,Celorio,,,,,43.43112,-4.80823,7
,,,,N-N118,Barro,43.43425,-4.82881,15
N-N118,Barro,,,,,43.43425,-4.82881,15
,,,,N-N119,Niembro,43.43596,-4.84591,32
N-N119,Niembro,,,,,43.43596,-4.84591,32
,,,,N-N120,Naves,43.44050,-4.88989,36
N-N120,Naves,,,,,43.44050,-4.88989,36
,,,,N-N121,Villahormes,43.43853,-4.90256,48
N-N121,Villahormes,,,,,43.43853,-4.90256,48
,,,,N-N122,Nueva,43.43759,-4.93913,54
N-N122,Nueva,,,,,43.43759,-4.93913,54
,,,,N-N123,Piñeres de Pría,43.44140,-4.95772,64
